"";"10-Yard Fight ; Irem ; Nintendo" 
"";"100 Man Dollar Kid: Maboroshi no Teiou Hen" 
"";"1942Capcom" 
"";"1943: The Battle of MidwayCapcom" 
"";"" 
"";"1999: Hore, Mitakotoka! SeikimatsuCoconutsJapão" 
"";"" 
"";"4ninuchi MahjongNintendoJapão" 
"";"720°Atari" 
"";"8 EyesSeta Corporation" 
"";"'89 Dennou Kyuusei UranaiInduction ProduceJapão" 
"";"" 
"";"A Ressha de IkouPony CanyonJapão" 
"";"Aa Yakyu Jinsei IcchokusenSammy StudiosJapão" 
"";"Abarenbou TenguMeldacZombie Nation" 
"";"Aces: Iron Eagle IIIPack-In-VideoJapão" 
"";"Advanced Dungeons and Dragons: Dragons of FlamePony CanyonJapão" 
"";"Advanced Dungeons and Dragons: Heroes of the LancePony Canyon" 
"";"Advanced Dungeons and Dragons: HillsfarPony Canyon" 
"";"Advanced Dungeons & Dragons: Pool of RadiancePony Canyon" 
"";"Adventures of LoloHALThe Adventures of Lolo 2" 
"";"Adventures of Lolo 2HALThe Adventures of Lolo 3" 
"";"Hudson Soft" 
"";"Hudson SoftMattel" 
"";"" 
"";"Adventures of Tom SawyerSeta" 
"";"After Burner IISunSoft" 
"";"Ai Sensei no Oshiete: Watashi no HoshiIremJapão" 
"";"Aigina no Yogen: From the Legend of BalubaloukVic TokaiJapão" 
"";"Air FortressHAL" 
"";"Kyugo Boueki" 
"";"Akagawa Jirou no Yuurei ResshaKing RecordsJapão" 
"";"AkakageToei AnimationJapão" 
"";"AkiraTaitoJapão" 
"";"Akuma no ShoutaijouKemcoUninvited" 
"";"Akuma-kun: Makai no WanaBandaiJapão" 
"";"Akumajou DensetsuKonamiCastlevania III: Dracula's Curse" 
"";"Akumajou DraculaKonamiCastlevania" 
"";"Akumajou Special - Boku Dracula KunKonamiJapãoAlucardCastlevania" 
"";"Alien SyndromeSunsoftTengen" 
"";"America Daitouryou SenkyoHectorJapão" 
"";"America Oudan Ultra Quiz: Shijou Saidai no TatakaiTomyJapão" 
"";"American DreamCoconutsJapão" 
"";"American FootballK Amusement LeasingJapão" 
"";"Ankoku Shinwa: Yamato Takeru DensetsuTokyo ShosekiJapão" 
"";"Antarctic AdventureKonamiJapãoKekkyoku Nankyoku Daibouken" 
"";"Aoki Ookami to Shiroki Mejika: Genchou HishiKoeiJapão" 
"";"Aoki Ookami to Shiroki Mejika: Genghis KhanKoeiGenghis Khan" 
"";"Arabian Dream SherezaadoCulture BrainThe Magic of Scheherazade" 
"";"Arctic: Active Rail PlayingPony CanyonJapão" 
"";"Argos no SenshiTecmoRygar" 
"";"ArgusJalecoJapão" 
"";"ArmadilloIGSJapão" 
"";"ArteliusNihon BussonJapão" 
"";"Asmik Kun LandAsmik AceJapão" 
"";"ASO: Armored Scrum ObjectSNKAlpha Mission" 
"";"Astro Fang: Super MachineA WaveJapão" 
"";"Astro Robo SasaAsciiJapão" 
"";"AthenaSNK" 
"";"Atlantis no NazoSunsoftJapãoprototipo" 
